Ufficio;Indirizzo;Comune;Provincia
Genio Civile Ariano Irpino;Via Fontana Nuova, 15;Ariano Irpino;Avellino
Politiche agricole, alimentari e forestali. Protezione Civile. Governo del Territorio, Lavori Pubblici e Protezione Civile.;Centro Direzionale di Avellino - Collina Liguorini;Avellino;Avellino
Politiche agricole, alimentari e forestali. Protezione Civile;SS. 6 Casilina Km 170 - loc. Pontelungo;Marzano Appio;Caserta
Politiche agricole, alimentari e forestali. Gestione Tecnica Incremento Ippico;Via Nazionale Appia;Santa.Maria Capua Vetere;Caserta
Sviluppo economico ed Attività produttive. Politiche agricole, alimentari e forestali. Governo del Territorio, Lavori Pubblici e Protezione Civile. Istruzione, Formazione, Lavoro e Politiche Giovanili.;Centro Direzionale di Napoli -  Isola A/6;Napoli;Napoli
Autorità di gestione Fondo Sociale Europeo e Fondo per lo sviluppo e la coesione. Tutela della Salute e Coordinamento Sistema Sanitario regionale. Mobilità e Trasporti;Centro Direzionale di Napoli -  Isola C/3;Napoli;Napoli
Direzione Generale Risorse Finanziarie. Direzione Generale per le Entrate e Politiche Tributarie. Politiche Culturali e Turismo;Centro Direzionale di Napoli -  Isola C/5;Napoli;Napoli
Politiche Sociali e Socio-Sanitarie, Avvocatura Regionale. Politiche Culturali e Turismo;Via Nuova Marina, 19/C- Palazzo Armieri;Napoli;Napoli
Politiche agricole, alimentari e forestali;Via Prov.le Matera - Località S. Pietro;Contursi Terme;Salerno
Politiche agricole, alimentari e forestali;Via Nazionale, 61 Parco Fiorito;Vallo della Lucania;Salerno
