TRENTOLA-DUCENTA,Trentola Ducenta
SANT ANASTASIA,Sant'Anastasia
SANT EGIDIO DEL MONTE ALBINO,Sant'Egidio del Monte Albino
CAPACCIO,Capaccio Paestum
SANT AGATA DE  GOTI,Sant'Agata de' Goti
SANT ANTONIO ABATE,Sant'Antonio Abate
SANT ANGELO DEI LOMBARDI,Sant'Angelo dei Lombardi
SANT ANTIMO,Sant'Antimo
SANT ANGELO A CUPOLO,Sant'Angelo a Cupolo
SAN CIPRIANO D AVERSA,San Cipriano d'Aversa
BARANO D ISCHIA,Barano d'Ischia
OSPEDALETTO D ALPINOLO,Ospedaletto d'Alpinolo
CONTURSI,Contursi Terme
SANT ARPINO,Sant'Arpino
SANT ANGELO ALL ESCA,Sant'Angelo all'Esca
