MONTE CALVO IRPINO,MONTECALVO IRPINO
S.CIPRIANO D'AVERSA,San Cipriano d'Aversa
CAVA DÈ TIRRENI,Cava de' Tirreni
FONTANA ROSA,FONTANAROSA
CASTEL VENERE,Castelvenere
PONTE CAGNANO FAIANO,Pontecagnano Faiano
POGGIO MARINO,Poggiomarino
MONTE MILETTO,Montemiletto
MARIGLIA NELLA,Mariglianella
SAN NICOLA  LA STRADA,San Nicola la Strada
MONTE SARCHIO,MONTESARCHIO
CAMPO LATTARO,Campolattaro
S. MARCO EVANGELISTA,San Marco Evangelista
CAVA DEI TIRRENI,Cava de' Tirreni
SANT'ANGELO DEI LOMARDI,Sant'Angelo dei Lombardi
GRICIGNANO D'AVERSA,Gricignano di Aversa
ROCCA BASCERANA,Roccabascerana
CASALVELINO,Casal Velino
ROCCA PIEMONTE,Roccapiemonte
S. EGIDIO DEL MONTE ALBINO,Sant'Egidio del Monte Albino
CASTEL PAGANO,Castelpagano
SANTA MARIA LA CARITA',Santa Maria la Carità
GUARDIA SANFRA MONDI,Guardia Sanframondi
CASTEL FRANCI,Castelfranci
PONTE LANDOLFO,Pontelandolfo
FRATTA MINORE,Frattaminore
MONTE CORVINO ROVELLA,Montecorvino Rovella
FRATTA MAGGIORE,Frattamaggiore
GROTTA MINARDA,Grottaminarda
CAPACCIO,Capaccio Paestum
S.GIORGIO A CREMANO,San Giorgio a Cremano
VALLE SACCARDA,Vallesaccarda
MONTE FREDANE,Montefredane
CASETEL SAN GIORGIO,Castel San Giorgio
PORTICO,Portici
S.MARIA CAPUA VETERE,Santa Maria Capua Vetere
