s. giorgio del s.,San Giorgio del Sannio
castelvetere v.f.,Castelvenere
colla sannita,Colle Sannita
foiano v.f.,Dolianova
guardia sanframon.,Guardia Sanframondi
i^ traversa  s. giorgio del,Torre San Giorgio
montefalcone v.f.,Montefalcione
pietraroia,Pietraroja
s. agata de' goti,Sant'Agata de' Goti
s. angelo a cupolo,Sant'Angelo a Cupolo
s. bartolomeo in g.,San Bartolomeo in Galdo
s. croce del sannio,Santa Croce del Sannio
s. giorgio del sannio,San Giorgio del Sannio
s. giorgio la molara,San Giorgio La Molara
s. lorenzello,San Lorenzello
s. lupo,San Lupo
s. marco dei cavoti,San Marco dei Cavoti
s. nicola manfredi,San Nicola Manfredi
s. salvatore t.,San Salvatore Telesino
s. salvatore telesino,San Salvatore Telesino
acquara,Acquaro
atenalucana,Atena Lucana
beltiglio di ceppaloni,Ceppaloni
buonabiatcolo,Buonabitacolo
camerota licusati,Camerota
capaccio,Capaccio Paestum
capriglia,Capriglia Irpina
castelsanlorenzo,Castel San Lorenzo
cava de tirreni,Cava de' Tirreni
cava de'tirreni,Cava de' Tirreni
cava dei tirreni,Cava de' Tirreni
dsb60 nocera inferiore,Nocera Inferiore
lancusi,Lanusei
laurena cilento,Laureana Cilento
monteforte,Monteforte Cilento
montercorvino pugliano,Montecorvino Pugliano
montesano,Montescano
montoro inferiore,Nocera Inferiore
montoro superiore,Nocera Superiore
mugnano,Camugnano
nocera,Nocera Umbra
non specificato,Monserrato
poderia,Paderna
s. angelo dei lombardi,Sant'Angelo dei Lombardi
s. lorenzo maggiore,San Lorenzo Maggiore
s. marco dei c.,San Marco dei Cavoti
s.angelo a cupolo,Sant'Angelo a Cupolo
s.angelo a scala,Sant'Angelo a Scala
s.leucio del sannio,San Leucio del Sannio
sala  consilina,Sala Consilina
san gennarello di ottaviano,Ottaviano
san giorgo a cremno,San Giorgio a Cremano
san marco castellabate,Castellabate
san martino,Adrara San Martino
sanata maria la carita',Santa Maria la Carità
sant'egidio di montalbino,Sant'Egidio del Monte Albino
santa maria la carita',Santa Maria la Carità
santarsenio,Sant'Arsenio
secignano degli alburni,Sicignano degli Alburni
torre delgreco,Torre del Greco
vallo della lucaniaq,Vallo della Lucania
via a. e m. cirillo gia' via minutella 33,Barberino Tavarnelle
volturara,Volturara Appula
volturara irp,Volturara Irpina
